u,v
8196750191,1515948729
8196750191,620149923
258421964,2507522705
258421964,11641406107
258421964,1515477269
2507522705,258421964
2507522705,12202471754
2507522705,11627254643
11641406107,1025495644
11641406107,258421964
11641406107,11641406110
1515477269,258421964
1515477269,1515477223
1515477269,3641306720
258421967,3770153069
258421967,11641409779
258421967,567880186
3770153069,258421967
3770153069,831631268
3770153069,831631397
11641409779,258421967
11641409779,11641409794
11641409779,11641409780
567880186,3616245737
567880186,567880516
567880186,258421967
258421972,2618929634
258421972,4954753770
258421972,9226037679
2618929634,4954753738
2618929634,825160681
4954753770,825160681
4954753770,2507522597
4954753770,831732997
9226037679,3202307356
9226037679,258421972
9226037679,9226037684
258421980,1601688809
258421980,1601688835
1601688809,1601688784
1601688809,1601688811
1601688835,831732786
1601688835,1601688820
1601688835,1601688929
1601688835,9420119325
263716345,12525932276
12525932276,263716345
12525932276,826769337
264348911,7540325369
7540325369,920640394
7540325369,264348911
7540325369,7928563463
264360529,5873115269
264360529,1515854544
264360529,620101901
264360529,538361400
5873115269,264360529
5873115269,1518951650
5873115269,1518951640
5873115269,11802020658
1515854544,620101902
1515854544,264360529
1515854544,1515854554
620101901,2963325404
620101901,264360529
620101901,620101897
538361400,11517472113
538361400,264360529
538361400,11517472106
538361400,620061631
264363621,3774350124
264363621,1520454349
264363621,1516088439
3774350124,264363621
3774350124,4398126517
3774350124,3774350127
1520454349,264363621
1516088439,9775273929
1516088439,264363621
1516088439,9775273944
264365408,7277997732
264365408,13466617837
264365408,2610198037
7277997732,264365408
7277997732,1599555485
7277997732,8733927156
13466617837,7580458801
13466617837,264365408
13466617837,13466617893
2610198037,2610198040
2610198037,8733877194
2610198037,264365408
264376710,1516088419
264376710,7475272860
264376710,12844396298
1516088419,264376710
1516088419,4089172508
1516088419,4089172532
7475272860,264376710
7475272860,2169569369
7475272860,7475272862
12844396298,267130201
12844396298,264376710
12844396298,12844396300
265667843,1049106208
265667843,4581517385
265667843,1921937628
1049106208,1049105080
1049106208,8211384968
1049106208,265667843
4581517385,13532783412
4581517385,265667843
4581517385,13532783415
4581517385,13532783422
1921937628,1921937633
1921937628,13532783412
1921937628,265667843
267129972,1518951551
267129972,621164917
267129972,1518951568
1518951551,267129972
1518951551,2668715494
1518951551,1518951568
621164917,2157187698
621164917,1518951607
621164917,2862052289
621164917,621164920
621164917,2668715502
1518951568,2862052287
1518951568,1516088418
267130201,581130066
267130201,1518951577
267130201,12844396298
581130066,538353629
581130066,1518951584
581130066,267130201
581130066,1518951604
1518951577,267130201
1518951577,5174418022
1518951577,1518951584
268817196,10555177530
268817196,10542068292
10555177530,1516088442
10555177530,10555177520
10542068292,1516088443
10542068292,268817196
274776103,824787724
274776103,825161385
274776103,824787748
824787724,10080202987
824787724,274776103
824787724,824787805
825161385,274776103
825161385,825160959
825161385,4477476867
824787748,274776103
824787748,2504665976
824787748,824787805
274776110,7502769666
274776110,9447366056
274776110,829529047
7502769666,4497244231
7502769666,274776110
7502769666,10052455723
9447366056,274776110
9447366056,9447366057
9447366056,11835734544
829529047,11673408579
829529047,274776110
829529047,1018651527
274778177,3897585917
274778177,10052455720
3897585917,3163902065
3897585917,3897585912
10052455720,823673404
10052455720,274778177
10052455720,10052455722
274782329,4438194782
274782329,727807036
274782329,4438194787
4438194782,13617148667
4438194782,274782329
4438194782,4438247630
727807036,4438194889
727807036,274782329
727807036,4438194784
4438194787,4438194891
4438194787,274782329
4438194787,836253846
277907445,1109425293
277907445,252408245
1109425293,828166980
1109425293,252408245
277907447,533996512
277907447,12178934052
533996512,277907448
533996512,1109426271
12178934052,831631857
12178934052,831631464
12178934052,831631596
277907448,7599599846
7599599846,2503821956
1025495892,1025495926
1025495892,829209485
1025495892,277907799
829209426,11614928444
829209426,6975364749
829209426,277907799
277907803,13061858351
277907803,13061858348
277907803,277907808
13061858351,828167090
13061858351,277907803
13061858351,13061858349
13061858348,277907803
13061858348,1025495773
13061858348,13061858344
277907808,277907803
277907808,1025495908
277907808,828167028
1025495908,1025495773
1025495908,277907808
1025495908,1025495634
828167028,828167090
828167028,277907808
828167028,11614928461
2508716610,277921078
11835681578,10541893402
11835681578,277921078
11835681578,11835681579
4706296488,277921167
4706296488,11835681663
4706296488,4706296487
10541893402,11835681578
10541893402,10541893403
10541893402,277921167
277922111,13617148745
277922111,824787884
277922111,8050792859
13617148745,277922111
13617148745,4438247630
13617148745,13617148746
824787884,824787824
824787884,727807009
824787884,277922111
8050792859,836253846
8050792859,8050792860
8050792859,277922111
277922116,11212240873
277922116,277922117
277922116,4438230885
11212240873,702501341
11212240873,11212240874
11212240873,277922116
277922117,727806527
277922117,277922116
277922117,727806757
4438230885,4438230886
4438230885,277922116
4438230885,702501333
727806527,417916598
727806527,702501345
727806527,277922117
727806757,727806657
727806757,277922117
727806757,727806739
277922245,2792799396
277922245,13617166658
277922245,277922249
2792799396,277922245
2792799396,1601688340
2792799396,4208932890
13617166658,277922245
13617166658,13617166656
13617166658,4208932891
277922249,5054540871
277922249,277922245
277922249,5054530500
5054540871,13592299605
5054540871,13612885086
5054540871,277922249
5054530500,5054530502
5054530500,277922249
5054530500,13617166628
277922574,896336738
277922574,5054530493
277922574,1802772577
896336738,277922574
896336738,5054584942
896336738,728630694
896336738,5054584948
5054530493,277922574
5054530493,5054530490
5054530493,5054530491
1802772577,1802772572
1802772577,277922674
1802772577,277922574
277922674,727806696
277922674,727806696
277922674,1802772577
727806696,727806646
727806696,277922674
727806696,277922674
292934383,1029865582
292934383,1032159448
292934383,1029864441
1029865582,12111397568
1029865582,292934383
1029865582,1029865470
1032159448,1032159472
1032159448,4458911725
1032159448,292934383
1029864441,1032159734
1029864441,1029865855
1029864441,292934383
292934390,1015158425
292934390,1015158348
292934390,1015158402
1015158425,13415448494
1015158425,3242230491
1015158425,292934390
1015158348,1015158201
1015158348,1043111343
1015158348,292934390
1015158402,1015158262
1015158402,292934390
1015158402,1601985026
292934395,12111397730
292934395,1015158093
292934395,8403208959
12111397730,292934395
12111397730,1032159475
12111397730,12111397726
1015158093,8403208967
1015158093,292934395
1015158093,1015158079
8403208959,1015158336
8403208959,292934395
8403208959,8403208967
292934485,12115118462
292934485,1015187899
292934485,12115118483
292934485,4446867349
12115118462,1603964686
12115118462,292934485
12115118462,3957261438
1015187899,292934485
1015187899,12115115916
1015187899,4446867345
12115118483,292934485
12115118483,3957261441
12115118483,12115118489
4446867349,12111434789
4446867349,4446867348
4446867349,292934485
292934832,12111397568
292934832,1015158167
292934832,1043111701
12111397568,292934832
12111397568,1029865582
12111397568,12111397578
1015158167,292934832
1015158167,1032159976
1015158167,1015158314
1043111701,2508716465
1043111701,1015158272
1043111701,292934832
292934835,5076733735
292934835,1015158184
292934835,1015158369
5076733735,1015158051
5076733735,292934835
5076733735,5076733733
1015158184,1015158209
1015158184,292934835
1015158184,2587271826
1015158369,1015158210
1015158369,292934835
1015158369,1015158061
292935852,1025522192
292935852,1596009839
292935852,3201790713
1025522192,3201790727
1025522192,1015188068
1025522192,292935852
1596009839,3201790699
1596009839,1596009838
1596009839,3201790717
